"activity_goals_outcomes","activity_name","activity_type","attended_people","budget","company_name","description","end_date","feedback_mechanism","frequency_of_recurrence","id","is_recurring","key_partners_sponsors","location","number_of_participants_expected","resources_needed_provided","rsvpd_list","start_date","success_metrics","target_audience"
"The listen article quality with direction each price.","Cross-group logistical infrastructure","Recruitment","DM-2024-GAYU, AS-2024-YGBQ, SF-2024-WRA6, BP-2024-0510, MD-2024-HSSU, AR-2024-5IVP, LH-2024-IRNW, WB-2024-V5YP","","Sanders, Smith and Byrd","Need after store business so particular water sport hard shake resource network enjoy.","2025-01-11T17:25:55.672354","Feedback Form","Annually","ACT-1734445555-V7CC3K","True","Hill, Sullivan and Thompson, Richardson-Schwartz","Virtual (Online)","57","","BP-2024-0510, JT-2024-YQF0, RL-2024-A8DL, DM-2024-GAYU, AG-2024-055O, JS-2024-G2NQ, LH-2024-IRNW, WB-2024-V5YP, AS-2024-YGBQ, SF-2024-WRA6, EZ-2024-EN0N, MD-2024-HSSU, AR-2024-5IVP","2025-01-09T17:25:55.672354","Number of participants, Engagement levels","Employees"
"Owner back according focus seat sing character name toward wear herself probably.","Reverse-engineered multi-state paradigm","Employee Engagement","DF-2024-MBMA, AH-2024-4ZZH, CM-2024-KU2S, JG-2024-I3VC","","Curry, Harrington and Lane","Material popular rock shoulder wall thus establish type occur lawyer that free.","2025-01-07T17:25:55.672861","","","ACT-1734445555-GC0K12","False","Rojas LLC","913 Charles Mountain, West Davidfort, CT 20289","196","","JG-2024-89LS, DF-2024-MBMA, MP-2024-EW6W, JS-2024-IPM9, CS-2024-GR5Z, CH-2024-ZKB3, SG-2024-1YRM, AH-2024-4ZZH, JG-2024-I3VC, CM-2024-KU2S, VF-2024-U53D, DB-2024-3B3V","2025-01-05T17:25:55.672861","Number of participants, Engagement levels","Volunteers"
"Every away election Mr begin head table suffer a.","Multi-tiered object-oriented moderator","Product Launch","VR-2024-5CWP, BH-2024-X002, SH-2024-OOE7, KB-2024-32DR, WB-2024-LCSN, JL-2024-EY5X, MH-2024-0XKP, BR-2024-6113, VG-2024-DWH4, CH-2024-ZKHA, DH-2024-HHEO, VB-2024-S6GI","$34083","Duke-Lewis","Water market beyond sound own why arm owner college sea study send girl.","2025-01-17T17:25:55.673375","","","ACT-1734445555-RCS0KW","False","","Virtual (Online)","44","Training materials, Equipment, Refreshments","SH-2024-OOE7, JL-2024-EY5X, MH-2024-0XKP, BH-2024-X002, VG-2024-DWH4, VB-2024-S6GI, VR-2024-5CWP, BR-2024-6113, KB-2024-32DR, DH-2024-HHEO, LR-2024-65LC, MH-2024-I49W, CH-2024-ZKHA, WB-2024-LCSN, ST-2024-GO2P","2025-01-13T17:25:55.673375","Number of participants, Engagement levels","Public"
"Organization foot me way every try go image.","Versatile analyzing alliance","Social Responsibility","MF-2024-ONDU, VH-2024-65IC, CR-2024-Q71O","$28391","Lee, Mueller and Cruz","Item though necessary become try artist send ago subject leader how arm.","2024-12-28T17:25:55.673449","Feedback Form","","ACT-1734445555-YQ565Q","False","","66844 Caleb Burgs, East Brentberg, MP 94479","387","","AB-2024-S7R3, CR-2024-Q71O, AA-2024-CPO2, VH-2024-65IC, MF-2024-ONDU","2024-12-25T17:25:55.673449","Number of participants, Engagement levels","Employees"
"Tend sign feel field determine lose also special.","Synergized fault-tolerant groupware","Networking","SB-2024-L9VQ, KC-2024-FQYN","","Mitchell-Duran","Nature she trial age fall yes player turn capital much effort despite probably town whose.","2025-01-04T17:25:55.673653","Survey","Monthly","ACT-1734445555-KEM6L8","True","","Virtual (Online)","260","Training materials, Equipment, Refreshments","DP-2024-U098, SB-2024-L9VQ, KC-2024-FQYN","2025-01-02T17:25:55.673653","Number of participants, Engagement levels","Youth"
"Agent rather especially if need certain agree senior.","Virtual attitude-oriented moratorium","Social Responsibility","ML-2024-SVVG, RR-2024-8DLP, CM-2024-BXWZ, DN-2024-I5Y1, AF-2024-VKOM, JG-2024-I3VC, TP-2024-5PGK","","Brown Group","Join this tree ok in fine manager enter hospital half light entire open it.","2025-01-20T17:25:55.673717","","Ad Hoc","ACT-1734445555-WIT54Z","True","Johnson, Burch and Leon, Taylor, Douglas and Beard, Wheeler-Compton","Virtual (Online)","59","","JY-2024-7MJB, AF-2024-VKOM, TP-2024-5PGK, CM-2024-BXWZ, VB-2024-S6GI, BN-2024-ZZIB, WP-2024-WCNH, ML-2024-SVVG, DN-2024-I5Y1, KJ-2024-UFVQ, WG-2024-JQEA, GM-2024-PCWL, RR-2024-8DLP, GA-2024-R0FV, WB-2024-ODWY, AA-2024-CPO2, JG-2024-I3VC, WP-2024-LR67, DC-2024-1RDJ","2025-01-16T17:25:55.673717","Number of participants, Engagement levels","Customers"
"President case space build against game word nor want nature whatever.","Intuitive explicit website","Training Session","JR-2024-XN5C, RT-2024-JLIS, CB-2024-3HV3, SS-2024-BC82, BR-2024-6113, AM-2024-4EG6, CF-2024-CNE1, AH-2024-DI6N","","Brooks, Reynolds and Lewis","Sense officer politics although expert music range establish town seat watch cultural that about.","2024-12-31T17:25:55.674380","Survey","","ACT-1734445555-QUVH3F","False","Cisneros, Johnson and Hoffman","Virtual (Online)","23","","JR-2024-6LBZ, AH-2024-DI6N, SS-2024-BC82, JR-2024-XN5C, CB-2024-3HV3, LH-2024-IRNW, RT-2024-JLIS, JB-2024-R609, BR-2024-6113, CF-2024-CNE1, JG-2024-WDAR, AM-2024-4EG6","2024-12-29T17:25:55.674380","Number of participants, Engagement levels","Partners"
"Young must shoulder drop picture will radio lot plan strong buy product.","Fully-configurable systematic matrices","Social Responsibility","BN-2024-ZZIB, MB-2024-A9ZU","$17194","Santos, Hendricks and Black","Across find check drug energy community couple rich business call executive parent some.","2025-01-10T17:25:55.674664","","","ACT-1734445555-62F160","False","","822 French Terrace, Laneland, PW 16893","130","","MM-2024-AANQ, MB-2024-A9ZU, BN-2024-ZZIB, GG-2024-4CP9, JS-2024-IPM9","2025-01-09T17:25:55.674664","Number of participants, Engagement levels","Volunteers"
"Stay reach country amount send guess within travel hair.","Intuitive clear-thinking Graphical User Interface","Networking","JH-2024-ZVR7, SM-2024-CF9F, RM-2024-TI1F, BB-2024-YF1M, JH-2024-XDRC","","Wolfe, Smith and Macdonald","Approach ball claim organization necessary she note foreign knowledge choice.","2025-01-17T17:25:55.674900","Feedback Form","Annually","ACT-1734445555-VEM5TU","True","Haas, Perez and Thomas","Virtual (Online)","96","","JH-2024-XDRC, RL-2024-WN3N, CB-2024-JJYL, MC-2024-JYNA, GF-2024-LN7K, WB-2024-V5YP, CB-2024-3HV3, AP-2024-PC3G, JH-2024-ZVR7, SM-2024-CF9F, AC-2024-GNFA, RM-2024-TI1F, CC-2024-1K06, RD-2024-6WMT, BB-2024-YF1M, MM-2024-I2GZ, EP-2024-G34X, MF-2024-ONDU","2025-01-16T17:25:55.674900","Number of participants, Engagement levels","Employees"
"Blood lot interesting someone heart day whole billion major time own audience out.","Profound human-resource success","Employee Engagement","WB-2024-V5YP, DH-2024-EULE, MP-2024-5QLN, CG-2024-ASBT, SM-2024-FEIS, BS-2024-G9WT, CB-2024-12Y8, AC-2024-ECLV, SM-2024-WOD5, MN-2024-QS81, JC-2024-42NF, JM-2024-NTUY","$77381","Fox-Giles","Itself side somebody discussion note fish them three what loss dog star office kid citizen work whatever.","2025-01-10T17:25:55.675185","","","ACT-1734445555-HN6LUH","False","","7143 Harrison Stream, Greenborough, MS 59530","293","","WH-2024-Y3CV, GF-2024-LN7K, BS-2024-G9WT, RG-2024-25UT, MP-2024-5QLN, CG-2024-ASBT, AH-2024-DI6N, FB-2024-EDUX, JM-2024-NTUY, SM-2024-WOD5, SM-2024-FEIS, AR-2024-Z8EY, DH-2024-EULE, WB-2024-V5YP, AC-2024-ECLV, JC-2024-42NF, MN-2024-QS81, CB-2024-12Y8","2025-01-05T17:25:55.675185","Number of participants, Engagement levels","Students"
"Sure floor behind scientist list onto likely tonight wish strong management soon.","Configurable intermediate array","Social Responsibility","CB-2024-3HV3, JT-2024-YQF0, BH-2024-X002, AR-2024-Z8EY","","Jones and Sons","Decade tough citizen whether let since contain store strong agree rest someone.","2025-01-01T17:25:55.675434","Feedback Form","Annually","ACT-1734445555-GXWCX3","True","Fitzgerald-Burton, Gonzales, Hernandez and Maldonado","924 Hawkins Hill Apt. 838, Lisaview, MS 28630","209","","EL-2024-MBAV, JN-2024-KA33, TM-2024-6DP9, AH-2024-4ZZH, AR-2024-Z8EY, JB-2024-5NLJ, BH-2024-X002, CB-2024-3HV3, DM-2024-HE1P, JT-2024-YQF0","2024-12-28T17:25:55.675434","Number of participants, Engagement levels","Customers"
"Catch four billion various actually rather first short their easy lead much important.","Team-oriented eco-centric Local Area Network","Employee Engagement","","$62862","Scott Ltd","Pretty less hair chair write service military buy allow seat million inside positive toward hit kid.","2025-01-01T17:25:55.676029","Survey","","ACT-1734445555-76BAOO","False","","66410 Guzman Roads, South Brendaton, NV 06022","405","Training materials, Equipment, Refreshments","LY-2024-3KNY, KK-2024-FFT6, DP-2024-YNUL","2024-12-28T17:25:55.676029","Number of participants, Engagement levels","Employees"
"Defense matter ground have campaign despite hard impact.","Multi-layered optimizing Graphical User Interface","Social Responsibility","MB-2024-8ABR, DR-2024-MYGB, BB-2024-YF1M, PG-2024-DPN6, SL-2024-KPVX","$49276","Sullivan-Oliver","Whole try win enough nation modern main red education movie prove bank people produce win.","2024-12-29T17:25:55.676244","Feedback Form","","ACT-1734445555-THGMRE","False","Mccoy Inc","Virtual (Online)","272","Training materials, Equipment, Refreshments","SL-2024-KPVX, DR-2024-MYGB, PG-2024-DPN6, BB-2024-YF1M, MB-2024-8ABR","2024-12-24T17:25:55.676244","Number of participants, Engagement levels","Public"
"Management authority live specific popular professional site stay window.","Programmable regional hierarchy","Training Session","RR-2024-8DLP, MW-2024-JLPP, JF-2024-ZOSM, TH-2024-E7SX, BC-2024-NNZA, LB-2024-1K0W, LB-2024-2DGD, EB-2024-TE9N, MF-2024-848N, TH-2024-GX80, SM-2024-UD7W, VR-2024-5CWP","$85083","Kelly-Singh","Home military concern determine heart doctor night medical anything down customer interview onto available.","2025-01-08T17:25:55.676387","Survey","","ACT-1734445555-QPLNPP","False","Nelson, Harris and Jones, Stewart-English, Ballard, Castillo and Morgan","0442 Stewart Stravenue Apt. 992, Robertburgh, AZ 84461","500","","MW-2024-JLPP, BC-2024-NNZA, JF-2024-ZOSM, LB-2024-2DGD, EB-2024-TE9N, RR-2024-8DLP, SM-2024-UD7W, TH-2024-GX80, SF-2024-WRA6, TH-2024-E7SX, SH-2024-WBVO, MF-2024-848N, VR-2024-5CWP, LB-2024-1K0W","2025-01-06T17:25:55.676387","Number of participants, Engagement levels","Public"
"Peace expert because morning fish game risk rather.","Polarized reciprocal standardization","Product Launch","WP-2024-LR67, AB-2024-09GP, MM-2024-6D76","$57002","Cox LLC","Good rock speak carry play skill himself economy strategy former may movie yet property up left shoulder argue catch.","2025-01-14T17:25:55.677215","","","ACT-1734445555-DGIJ7X","False","Day PLC, Graham-Lee, Reynolds, Pearson and Johnson","93103 Miller Mews, Trevorfurt, VT 51138","86","","MM-2024-6D76, MB-2024-B6HL, WP-2024-LR67, MT-2024-53Y1, VH-2024-04K3, AB-2024-09GP","2025-01-10T17:25:55.677215","Number of participants, Engagement levels","Volunteers"
"Size fire black necessary sure national my natural he democratic.","Up-sized leadingedge secured line","Employee Engagement","FR-2024-5Q13, SB-2024-RY3O, JG-2024-9N36, AP-2024-2ZBO, RT-2024-JLIS, AK-2024-NAE0, TP-2024-5PGK, CS-2024-E1ZS, LM-2024-HMIQ, SB-2024-K0U2, SM-2024-UD7W, VB-2024-9CO9, CS-2024-2VSL, SB-2024-416T","$96834","Cain, Nguyen and Wilson","Some stock coach will walk on yourself also green somebody decide simple.","2025-01-05T17:25:55.678008","Feedback Form","Annually","ACT-1734445555-RILJ5H","True","Mercer, Fox and Rivas","Virtual (Online)","200","Training materials, Equipment, Refreshments","SB-2024-K0U2, SM-2024-UD7W, MS-2024-1C33, WF-2024-XSYZ, CS-2024-E1ZS, CD-2024-X8ER, CS-2024-2VSL, AP-2024-2ZBO, FR-2024-5Q13, JB-2024-7OHL, SK-2024-XWCV, JG-2024-9N36, SB-2024-RY3O, TP-2024-5PGK, LM-2024-HMIQ, VB-2024-9CO9, RT-2024-JLIS, AK-2024-NAE0, SB-2024-416T","2025-01-04T17:25:55.678008","Number of participants, Engagement levels","Students"
"Success happy lose wish eye customer teacher test candidate.","Profit-focused mobile orchestration","Training Session","MB-2024-7XMZ","","Chambers-Payne","Establish conference positive still face politics always thus explain image body word stuff large develop surface try performance.","2024-12-27T17:25:55.678320","Feedback Form","","ACT-1734445555-6HTHQ6","False","Williams, Herman and Branch, Price, Chambers and Coleman, Pratt-Frazier","90710 Ronald Station, Amychester, ND 30347","92","Training materials, Equipment, Refreshments","MB-2024-7XMZ","2024-12-24T17:25:55.678320","Number of participants, Engagement levels","Public"
"Sort federal change hotel discover focus happen next instead behavior fear.","Distributed high-level projection","Networking","SS-2024-8GTM, ES-2024-FHNM, NG-2024-7Q1E, AS-2024-YGBQ, CS-2024-E1ZS, JL-2024-CDZJ, JN-2024-UF7C, EZ-2024-EN0N, SL-2024-DERE, DM-2024-3DFG, JZ-2024-FQNG, AF-2024-VKOM, JY-2024-8A84, AB-2024-S7R3","","Anderson, Price and Hale","Free inside we talk president never in doctor deal order price yes world.","2024-12-22T17:25:55.679127","","Monthly","ACT-1734445555-K1V86E","True","","Virtual (Online)","40","","JW-2024-1US0, JY-2024-8A84, CS-2024-E1ZS, DM-2024-3DFG, ES-2024-FHNM, EZ-2024-EN0N, AF-2024-VKOM, SL-2024-DERE, EB-2024-X8IU, JL-2024-CDZJ, AB-2024-S7R3, CD-2024-VOH3, SS-2024-8GTM, AS-2024-YGBQ, JZ-2024-FQNG, JN-2024-UF7C, NG-2024-7Q1E","2024-12-20T17:25:55.679127","Number of participants, Engagement levels","Public"
"Still future stage fine book appear bed rather we.","Synergized client-server Graphical User Interface","Recruitment","AF-2024-OR8C, DM-2024-4TNI, AS-2024-PQEO, VB-2024-HIM0, SB-2024-K0U2, HB-2024-858T, JH-2024-9Z6L, JZ-2024-FQNG, VH-2024-04K3, SB-2024-L9VQ","","Wolfe, Smith and Macdonald","Another west enjoy plan two talk figure idea effect heart anything artist join himself.","2024-12-19T17:25:55.679192","","","ACT-1734445555-N5QNNI","False","Shepherd PLC, Wiley Group","Virtual (Online)","462","Training materials, Equipment, Refreshments","JH-2024-9Z6L, HB-2024-858T, SB-2024-L9VQ, SB-2024-K0U2, AS-2024-PQEO, VH-2024-04K3, JZ-2024-FQNG, AF-2024-OR8C, VB-2024-HIM0, DM-2024-4TNI","2024-12-18T17:25:55.679192","Number of participants, Engagement levels","Youth"
"Since none into receive fact contain.","Managed optimal extranet","Training Session","BB-2024-YF1M","","Ware Ltd","Eight argue between window father ten short play capital dog expect each must.","2025-01-08T17:25:55.679415","Survey","","ACT-1734445555-ADAFKE","False","Evans-White, Silva-Harrison","Virtual (Online)","459","Training materials, Equipment, Refreshments","BB-2024-YF1M, WW-2024-COX7","2025-01-03T17:25:55.679415","Number of participants, Engagement levels","Youth"
"Call federal return sure trip play today if kind color.","Focused interactive utilization","Social Responsibility","MN-2024-8RPN, MB-2024-7XMZ, MR-2024-0JKL, SB-2024-3OD0, CH-2024-6AAT, KC-2024-DQZU","$67804","Mitchell-Duran","Lose interest prevent control trade happen state play event program others traditional others system real.","2025-01-15T17:25:55.679772","Survey","Daily","ACT-1734445555-WGFKSG","True","","47585 Mitchell Unions Apt. 980, Brianport, AR 98899","352","","CP-2024-HOH4, DM-2024-HE1P, MN-2024-8RPN, CH-2024-6AAT, MB-2024-7XMZ, KC-2024-DQZU, SH-2024-99BT, WB-2024-IZUN, SB-2024-3OD0, ST-2024-JYPN, MR-2024-0JKL","2025-01-13T17:25:55.679772","Number of participants, Engagement levels","Volunteers"
"Since more tell travel direction so partner learn maintain executive say save good.","Configurable asymmetric archive","Recruitment","KC-2024-DQZU, LP-2024-274P, MB-2024-8ABR, CB-2024-SUPU, MB-2024-DZUD, WS-2024-A2JZ, JY-2024-8A84, DB-2024-DM37, AP-2024-NEXE, RB-2024-PKBP","$51803","Wright and Sons","Leader weight week look material receive simply fly area management where trial hospital measure term year wish.","2024-12-30T17:25:55.679982","","","ACT-1734445555-79P8DV","False","White-Osborne","Virtual (Online)","216","","WS-2024-A2JZ, CB-2024-SUPU, AP-2024-NEXE, JD-2024-NCYG, CC-2024-XMNX, DB-2024-3B3V, DB-2024-DM37, LP-2024-274P, RB-2024-PKBP, KC-2024-DQZU, JY-2024-8A84, MB-2024-DZUD, MB-2024-8ABR, DM-2024-3DFG, VB-2024-9CO9","2024-12-29T17:25:55.679982","Number of participants, Engagement levels","Employees"
"Forward every tough always thank factor trip adult common this two.","Down-sized local instruction set","Social Responsibility","JW-2024-FBW7, SB-2024-0X44, MR-2024-0JKL","","Reed-Austin","Star evidence mouth either play apply task light among new myself this worry.","2024-12-27T17:25:55.680196","Feedback Form","Daily","ACT-1734445555-LDB8OL","True","","PSC 4208, Box 3284, APO AE 98368","471","","SM-2024-2SG7, SB-2024-0X44, MR-2024-0JKL, AN-2024-1GK5, JW-2024-FBW7","2024-12-23T17:25:55.680196","Number of participants, Engagement levels","Customers"
"Reduce then tell machine hour bed ok quickly never.","Synergized analyzing flexibility","Workshop","","$8680","Harris and Sons","Deep edge few environmental contain level season create type off.","2024-12-27T17:25:55.680273","","","ACT-1734445555-COPM41","False","Barrett, Gonzalez and Ortiz","Virtual (Online)","189","","JS-2024-ARHT, JN-2024-KA33, CG-2024-HXRR, MW-2024-JLPP, SC-2024-SA2J, AM-2024-HCMR, SB-2024-0X44","2024-12-26T17:25:55.680273","Number of participants, Engagement levels","Youth"
"List determine subject number either home stay eight rise themselves face.","Re-engineered neutral portal","Employee Engagement","SB-2024-RY3O","$84137","Richardson, Powell and Franklin","Customer themselves imagine reason man cost charge body heart speech great.","2025-01-15T17:25:55.680561","Feedback Form","Daily","ACT-1734445555-E11514","True","","USNV Snow, FPO AA 44811","475","Training materials, Equipment, Refreshments","ST-2024-GO2P, SZ-2024-RO85, WD-2024-EB8U, MS-2024-L72M, DM-2024-HE1P, SB-2024-RY3O, LS-2024-CGQQ, AR-2024-5IVP, MP-2024-5QLN, CP-2024-MSVL, DC-2024-JU5A","2025-01-13T17:25:55.680561","Number of participants, Engagement levels","Public"
"Better system fact become series various brother company others environment art hold guess.","User-centric multimedia architecture","Social Responsibility","DS-2024-8B3I, DW-2024-R1Q4, SS-2024-UWWA","$62507","Potter, Cox and Holt","Run order tough total star case think suffer along care radio some maybe prevent weight loss.","2025-01-04T17:25:55.680714","Survey","","ACT-1734445555-YXEMVI","False","Everett, Montoya and Anderson, Bennett, Smith and Barrett, Martinez-Moore","Virtual (Online)","65","","SS-2024-AMW9, CJ-2024-MMMI, DW-2024-R1Q4, AG-2024-B9VC, DS-2024-8B3I, TG-2024-EP84, TM-2024-FBYQ, KT-2024-6I02, HS-2024-H0J4, JR-2024-XN5C, MN-2024-QS81, SS-2024-UWWA","2024-12-31T17:25:55.680714","Number of participants, Engagement levels","Students"
"Establish charge guy Mrs industry class staff positive sign inside should culture.","Profound directional Local Area Network","Social Responsibility","BT-2024-9QYG, LB-2024-2DGD, SS-2024-8GTM","$6332","Ferrell Group","Staff it community see upon relate most manage lawyer election mouth today whom key miss.","2024-12-27T17:25:55.681368","","","ACT-1734445555-DP05O7","False","Vasquez, Nelson and Guzman, Johnson-Townsend","Virtual (Online)","259","","BT-2024-9QYG, JC-2024-E8TQ, JG-2024-3HFD, WH-2024-Y3CV, SS-2024-8GTM, LB-2024-2DGD","2024-12-26T17:25:55.681368","Number of participants, Engagement levels","Employees"
"Bag center above election expert turn any view fall tax.","Adaptive secondary knowledgebase","Product Launch","JT-2024-YVAV, AG-2024-B9VC, SH-2024-99BT, MS-2024-YGWM","$2976","George-Lee","Indicate game town time about decide town off someone list paper understand Congress its sister phone tonight.","2024-12-26T17:25:55.681800","Feedback Form","Daily","ACT-1734445555-6L6D51","True","White-Gibson","471 Sharon Creek Suite 941, West Kara, WY 46718","114","Training materials, Equipment, Refreshments","JT-2024-YVAV, SH-2024-99BT, AG-2024-B9VC, DR-2024-WB7L, MS-2024-YGWM, MN-2024-QS81","2024-12-24T17:25:55.681800","Number of participants, Engagement levels","Students"
"Enough down from other series about hospital.","Total fresh-thinking implementation","Training Session","DG-2024-5QAH, VA-2024-W2RQ, JR-2024-XN5C, LH-2024-PU3N, JS-2024-FTWB, JH-2024-9Z6L, TP-2024-39OO, MM-2024-0DDH, JH-2024-GY7U, MC-2024-JXCD, RL-2024-A8DL, SF-2024-WRA6","","Jones PLC","Pay now carry group wide American however anything young above fill ago position character company other during another.","2024-12-24T17:25:55.682158","","","ACT-1734445555-MKTKSL","False","","71958 Charlene Parkways Apt. 706, Laurenfort, AK 63839","140","Training materials, Equipment, Refreshments","TP-2024-39OO, JS-2024-FTWB, MM-2024-0DDH, MC-2024-JXCD, DG-2024-5QAH, JH-2024-GY7U, RL-2024-A8DL, SF-2024-WRA6, JH-2024-9Z6L, JR-2024-XN5C, VA-2024-W2RQ, LH-2024-PU3N","2024-12-21T17:25:55.682158","Number of participants, Engagement levels","Customers"
"Minute husband camera husband amount with prove though political.","Versatile impactful knowledge user","Recruitment","WS-2024-A2JZ, MH-2024-P4M2, WB-2024-Y5HV, SB-2024-416T, DN-2024-2H3R, FB-2024-EDUX, CR-2024-3BBC, EB-2024-WR89, SK-2024-XWCV, LB-2024-2DGD, CM-2024-BXWZ","$28564","Dean, Reeves and Cole","Movement quite item get no better wait say amount benefit sit cup up high risk visit individual national relate.","2024-12-24T17:25:55.682365","Survey","","ACT-1734445555-7IX3HM","False","","Virtual (Online)","356","","DN-2024-2H3R, MH-2024-P4M2, HS-2024-H0J4, WB-2024-Y5HV, WS-2024-A2JZ, SB-2024-416T, CR-2024-3BBC, SK-2024-XWCV, FB-2024-EDUX, LB-2024-2DGD, CM-2024-BXWZ, EB-2024-WR89","2024-12-23T17:25:55.682365","Number of participants, Engagement levels","Partners"
"Think unit election range rock three many economic.","Reverse-engineered uniform interface","Community Outreach","VF-2024-U53D, MG-2024-QAX8","","Cowan, Andrews and Molina","Shoulder bed him account smile pay purpose develop always it family couple majority word south president one reduce.","2025-01-18T17:25:55.682427","Survey","Monthly","ACT-1734445555-VY94DD","True","Weiss, Hancock and Garcia, Rodriguez-Spencer, Collins, Knight and Ochoa","51601 Wu Station, Melindaberg, RI 83893","484","Training materials, Equipment, Refreshments","MG-2024-QAX8, MH-2024-I49W, RM-2024-TI1F, SL-2024-DERE, MS-2024-8TDX, VF-2024-U53D","2025-01-15T17:25:55.682427","Number of participants, Engagement levels","Volunteers"
"Thought daughter about sure heart other test kind though.","Stand-alone non-volatile policy","Workshop","SS-2024-1P14, PK-2024-16S3, BG-2024-I473, SB-2024-DX0P, WP-2024-WCNH, DM-2024-4TNI, CS-2024-GR5Z, PN-2024-C9BJ, DM-2024-GAYU, MC-2024-JXCD, SC-2024-FAL5, AW-2024-SO3M, BP-2024-0510, JG-2024-89LS, DM-2024-NFNM","$51634","Hawkins-Rose","Line friend hit project various attack pull necessary money many start through happen support force.","2025-01-10T17:25:55.683228","Feedback Form","Annually","ACT-1734445555-AABV06","True","Krause, Wheeler and Kelley, Ward Inc","USS Hughes, FPO AP 77073","270","Training materials, Equipment, Refreshments","MC-2024-JXCD, DM-2024-NFNM, HB-2024-858T, PK-2024-16S3, WP-2024-WCNH, AW-2024-SO3M, BP-2024-0510, JG-2024-89LS, SB-2024-DX0P, SC-2024-FAL5, PN-2024-C9BJ, DB-2024-3B3V, DM-2024-GAYU, BG-2024-I473, CS-2024-GR5Z, DM-2024-4TNI, SS-2024-1P14, SL-2024-DERE","2025-01-09T17:25:55.683228","Number of participants, Engagement levels","Youth"
"None professor size member seat thus from do these chair environmental.","Secured 6thgeneration collaboration","Networking","SG-2024-5HEH, SB-2024-K0U2, VC-2024-XEBK, CH-2024-6AAT","$80138","Griffin-Johnson","Week him fear song deep future catch affect low population owner.","2025-01-05T17:25:55.683637","","","ACT-1734445555-PDPEIU","False","Kaiser and Sons","2427 Kim Street Suite 228, Kelseyport, SC 46093","15","","VC-2024-XEBK, DM-2024-3DFG, SL-2024-DERE, DR-2024-WB7L, CH-2024-6AAT, DM-2024-HE1P, AR-2024-D87L, SK-2024-XWCV, MM-2024-0DDH, BT-2024-RGBH, SB-2024-K0U2, SG-2024-5HEH, AP-2024-PC3G, TN-2024-SI4I, CS-2024-E1ZS, SS-2024-1P14, MB-2024-QBCP","2025-01-03T17:25:55.683637","Number of participants, Engagement levels","Partners"
"Position health respond friend yard member boy.","Up-sized grid-enabled matrix","Recruitment","SD-2024-D0LK, SB-2024-XEST, KB-2024-H1ZQ, AS-2024-DCMT, SC-2024-SA2J, VN-2024-DTII","","Lamb, Long and Deleon","Simply side their who suggest husband nature own discussion increase street.","2025-01-11T17:25:55.683920","Survey","Monthly","ACT-1734445555-GID1I0","True","","Virtual (Online)","261","","VN-2024-DTII, SD-2024-D0LK, SB-2024-XEST, AS-2024-DCMT, KB-2024-H1ZQ, SC-2024-SA2J","2025-01-07T17:25:55.683920","Number of participants, Engagement levels","Public"
"Should reason modern fall million cultural.","Organic attitude-oriented architecture","Product Launch","MM-2024-6D76, PN-2024-C9BJ, MH-2024-I49W, EJ-2024-OYRN, DB-2024-0JTT, MC-2024-YF3L, SZ-2024-RO85, HS-2024-H0J4","$39831","Brown, Walker and Graves","Especially together record more put rather way town respond kitchen particularly owner food today available.","2025-01-06T17:25:55.683970","Survey","Annually","ACT-1734445555-8EA6TW","True","","2297 Reeves Parkways, Romerofurt, IA 16956","401","Training materials, Equipment, Refreshments","AB-2024-R9WK, MH-2024-I49W, EJ-2024-OYRN, HS-2024-H0J4, MC-2024-YF3L, MB-2024-B6HL, PN-2024-C9BJ, MR-2024-0JKL, SZ-2024-RO85, FR-2024-5Q13, DB-2024-0JTT, MM-2024-6D76, SM-2024-CF9F","2025-01-05T17:25:55.683970","Number of participants, Engagement levels","Volunteers"
"Page task draw not strong begin condition someone.","Horizontal reciprocal customer loyalty","Employee Engagement","","","Ray Group","Stay second ten trial cup arrive option claim board back professional exist meeting.","2025-01-02T17:25:55.684184","Feedback Form","","ACT-1734445555-2RB006","False","Hart-Gordon","Virtual (Online)","18","","JH-2024-GY7U, VT-2024-VY1N, VT-2024-X9JD","2024-12-30T17:25:55.684184","Number of participants, Engagement levels","Volunteers"
"West outside responsibility measure pull least well security third year break tell lot.","Open-source web-enabled neural-net","Recruitment","CM-2024-XIQR","","Bowman, Jacobs and Bernard","Address church bad budget tend special get plant rule produce.","2025-01-17T17:25:55.684364","Survey","Weekly","ACT-1734445555-FZODKX","True","Brooks Ltd, Torres, Wise and Wallace","167 Anne Centers Apt. 229, Yvonneshire, SC 76889","118","","SS-2024-1P14, DB-2024-QL46, JT-2024-UMLB, MO-2024-NQKE, CB-2024-1ZGW, VH-2024-04K3, CM-2024-XIQR, SH-2024-AJ0Y, KN-2024-JPMR, AB-2024-S7R3, MH-2024-P4M2, JP-2024-6KQM","2025-01-13T17:25:55.684364","Number of participants, Engagement levels","Volunteers"
